stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto de matrix\MatrixProyecto\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto de matrix\MatrixProyecto\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00021] Also searching C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto de matrix\MatrixProyecto\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00036] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00039] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00186] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.01213] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.01258] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.01260] al_display=0000024E13C05550
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.01262] al_display->vt=0000024E13BB3C10
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01626] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.01631] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01634] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01635] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01637] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01639] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01641] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01643] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01644] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01646] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01648] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01650] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01652] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01653] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01655] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01657] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01659] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01660] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01668] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01670] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01672] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01673] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01675] Score is : 897
